Epoch 1/300, Test Accuracy: 20.98%, Loss: 9.1801
Epoch 2/300, Test Accuracy: 25.07%, Loss: 2.7629
Epoch 3/300, Test Accuracy: 26.92%, Loss: 2.5473
Epoch 4/300, Test Accuracy: 27.93%, Loss: 2.3171
Epoch 5/300, Test Accuracy: 28.45%, Loss: 2.0690
Epoch 6/300, Test Accuracy: 28.17%, Loss: 1.7977
Epoch 7/300, Test Accuracy: 28.78%, Loss: 1.5185
Epoch 8/300, Test Accuracy: 27.61%, Loss: 1.2744
Epoch 9/300, Test Accuracy: 27.91%, Loss: 1.1006
Epoch 10/300, Test Accuracy: 27.70%, Loss: 0.9790
Epoch 11/300, Test Accuracy: 28.18%, Loss: 0.8883
Epoch 12/300, Test Accuracy: 28.85%, Loss: 0.8126
Epoch 13/300, Test Accuracy: 28.78%, Loss: 0.7555
Epoch 14/300, Test Accuracy: 28.60%, Loss: 0.6976
Epoch 15/300, Test Accuracy: 28.90%, Loss: 0.6612
Epoch 16/300, Test Accuracy: 28.98%, Loss: 0.6282
Epoch 17/300, Test Accuracy: 28.81%, Loss: 0.6048
Epoch 18/300, Test Accuracy: 29.43%, Loss: 0.5896
Epoch 19/300, Test Accuracy: 28.83%, Loss: 0.5639
Epoch 20/300, Test Accuracy: 29.65%, Loss: 0.5432
Epoch 21/300, Test Accuracy: 29.29%, Loss: 0.5271
Epoch 22/300, Test Accuracy: 29.61%, Loss: 0.5143
Epoch 23/300, Test Accuracy: 30.11%, Loss: 0.4970
Epoch 24/300, Test Accuracy: 29.87%, Loss: 0.4820
Epoch 25/300, Test Accuracy: 29.20%, Loss: 0.4734
Epoch 26/300, Test Accuracy: 29.31%, Loss: 0.4607
Epoch 27/300, Test Accuracy: 30.25%, Loss: 0.4526
Epoch 28/300, Test Accuracy: 30.27%, Loss: 0.4395
Epoch 29/300, Test Accuracy: 30.05%, Loss: 0.4336
Epoch 30/300, Test Accuracy: 29.79%, Loss: 0.4274
Epoch 31/300, Test Accuracy: 29.47%, Loss: 0.4191
Epoch 32/300, Test Accuracy: 29.96%, Loss: 0.4135
Epoch 33/300, Test Accuracy: 30.08%, Loss: 0.4063
Epoch 34/300, Test Accuracy: 29.95%, Loss: 0.3935
Epoch 35/300, Test Accuracy: 29.87%, Loss: 0.3902
Epoch 36/300, Test Accuracy: 30.70%, Loss: 0.3853
Epoch 37/300, Test Accuracy: 30.51%, Loss: 0.3854
Epoch 38/300, Test Accuracy: 30.20%, Loss: 0.3772
Epoch 39/300, Test Accuracy: 30.08%, Loss: 0.3711
Epoch 40/300, Test Accuracy: 30.22%, Loss: 0.3617
Epoch 41/300, Test Accuracy: 30.24%, Loss: 0.3581
Epoch 42/300, Test Accuracy: 30.53%, Loss: 0.3497
Epoch 43/300, Test Accuracy: 30.01%, Loss: 0.3444
Epoch 44/300, Test Accuracy: 30.00%, Loss: 0.3412
Epoch 45/300, Test Accuracy: 30.32%, Loss: 0.3396
Epoch 46/300, Test Accuracy: 30.54%, Loss: 0.3310
Epoch 47/300, Test Accuracy: 30.71%, Loss: 0.3293
Epoch 48/300, Test Accuracy: 30.20%, Loss: 0.3225
Epoch 49/300, Test Accuracy: 30.29%, Loss: 0.3136
Epoch 50/300, Test Accuracy: 30.65%, Loss: 0.3165
Epoch 51/300, Test Accuracy: 30.37%, Loss: 0.3099
Epoch 52/300, Test Accuracy: 30.72%, Loss: 0.3067
Epoch 53/300, Test Accuracy: 31.12%, Loss: 0.3008
Epoch 54/300, Test Accuracy: 30.77%, Loss: 0.2964
Epoch 55/300, Test Accuracy: 31.17%, Loss: 0.2916
Epoch 56/300, Test Accuracy: 30.98%, Loss: 0.2874
Epoch 57/300, Test Accuracy: 31.11%, Loss: 0.2826
Epoch 58/300, Test Accuracy: 30.32%, Loss: 0.2814
Epoch 59/300, Test Accuracy: 30.56%, Loss: 0.2764
Epoch 60/300, Test Accuracy: 30.40%, Loss: 0.2760
Epoch 61/300, Test Accuracy: 30.37%, Loss: 0.2654
Epoch 62/300, Test Accuracy: 30.86%, Loss: 0.2636
Epoch 63/300, Test Accuracy: 30.30%, Loss: 0.2569
Epoch 64/300, Test Accuracy: 30.69%, Loss: 0.2586
Epoch 65/300, Test Accuracy: 30.75%, Loss: 0.2550
Epoch 66/300, Test Accuracy: 30.51%, Loss: 0.2534
Epoch 67/300, Test Accuracy: 30.83%, Loss: 0.2479
Epoch 68/300, Test Accuracy: 30.13%, Loss: 0.2451
Epoch 69/300, Test Accuracy: 30.56%, Loss: 0.2411
Epoch 70/300, Test Accuracy: 30.89%, Loss: 0.2377
Epoch 71/300, Test Accuracy: 31.08%, Loss: 0.2305
Epoch 72/300, Test Accuracy: 31.16%, Loss: 0.2297
Epoch 73/300, Test Accuracy: 30.96%, Loss: 0.2301
Epoch 74/300, Test Accuracy: 30.88%, Loss: 0.2275
Epoch 75/300, Test Accuracy: 30.50%, Loss: 0.2269
Epoch 76/300, Test Accuracy: 30.84%, Loss: 0.2203
Epoch 77/300, Test Accuracy: 31.26%, Loss: 0.2143
Epoch 78/300, Test Accuracy: 30.75%, Loss: 0.2163
Epoch 79/300, Test Accuracy: 31.00%, Loss: 0.2125
Epoch 80/300, Test Accuracy: 30.84%, Loss: 0.2128
