Epoch 1/300, Test Accuracy: 10.82%, Loss: 18.1848
Epoch 2/300, Test Accuracy: 9.48%, Loss: 2.2647
Epoch 3/300, Test Accuracy: 11.66%, Loss: 2.2356
Epoch 4/300, Test Accuracy: 11.82%, Loss: 2.2201
Epoch 5/300, Test Accuracy: 11.72%, Loss: 2.1998
Epoch 6/300, Test Accuracy: 12.30%, Loss: 2.1785
Epoch 7/300, Test Accuracy: 12.62%, Loss: 2.1543
Epoch 8/300, Test Accuracy: 12.80%, Loss: 2.1275
Epoch 9/300, Test Accuracy: 14.40%, Loss: 2.1015
Epoch 10/300, Test Accuracy: 13.26%, Loss: 2.0710
Epoch 11/300, Test Accuracy: 13.74%, Loss: 2.0449
Epoch 12/300, Test Accuracy: 13.10%, Loss: 2.0217
Epoch 13/300, Test Accuracy: 13.72%, Loss: 2.0025
Epoch 14/300, Test Accuracy: 12.64%, Loss: 1.9913
Epoch 15/300, Test Accuracy: 13.82%, Loss: 1.9922
Epoch 16/300, Test Accuracy: 13.74%, Loss: 1.9928
Epoch 17/300, Test Accuracy: 13.92%, Loss: 1.9957
Epoch 18/300, Test Accuracy: 13.54%, Loss: 1.9866
Epoch 19/300, Test Accuracy: 14.64%, Loss: 1.9819
Epoch 20/300, Test Accuracy: 13.86%, Loss: 1.9733
Epoch 21/300, Test Accuracy: 15.10%, Loss: 1.9640
Epoch 22/300, Test Accuracy: 13.82%, Loss: 1.9543
Epoch 23/300, Test Accuracy: 13.72%, Loss: 1.9493
Epoch 24/300, Test Accuracy: 13.60%, Loss: 1.9444
Epoch 25/300, Test Accuracy: 14.20%, Loss: 1.9357
Epoch 26/300, Test Accuracy: 12.96%, Loss: 1.9312
Epoch 27/300, Test Accuracy: 14.02%, Loss: 1.9286
Epoch 28/300, Test Accuracy: 14.34%, Loss: 1.9251
Epoch 29/300, Test Accuracy: 14.84%, Loss: 1.9197
Epoch 30/300, Test Accuracy: 13.94%, Loss: 1.9145
Epoch 31/300, Test Accuracy: 15.14%, Loss: 1.9091
Epoch 32/300, Test Accuracy: 13.48%, Loss: 1.9059
Epoch 33/300, Test Accuracy: 15.70%, Loss: 1.9009
Epoch 34/300, Test Accuracy: 14.60%, Loss: 1.8973
Epoch 35/300, Test Accuracy: 14.94%, Loss: 1.8917
Epoch 36/300, Test Accuracy: 14.60%, Loss: 1.8908
Epoch 37/300, Test Accuracy: 15.00%, Loss: 1.8852
Epoch 38/300, Test Accuracy: 15.14%, Loss: 1.8809
Epoch 39/300, Test Accuracy: 15.18%, Loss: 1.8772
Epoch 40/300, Test Accuracy: 13.98%, Loss: 1.8728
Epoch 41/300, Test Accuracy: 14.52%, Loss: 1.8714
Epoch 42/300, Test Accuracy: 14.12%, Loss: 1.8704
Epoch 43/300, Test Accuracy: 14.28%, Loss: 1.8662
Epoch 44/300, Test Accuracy: 14.50%, Loss: 1.8619
Epoch 45/300, Test Accuracy: 15.06%, Loss: 1.8598
Epoch 46/300, Test Accuracy: 14.90%, Loss: 1.8558
Epoch 47/300, Test Accuracy: 14.50%, Loss: 1.8565
Epoch 48/300, Test Accuracy: 14.08%, Loss: 1.8551
Epoch 49/300, Test Accuracy: 15.88%, Loss: 1.8545
Epoch 50/300, Test Accuracy: 14.54%, Loss: 1.8525
Epoch 51/300, Test Accuracy: 14.92%, Loss: 1.8497
Epoch 52/300, Test Accuracy: 15.64%, Loss: 1.8461
Epoch 53/300, Test Accuracy: 15.42%, Loss: 1.8441
Epoch 54/300, Test Accuracy: 14.94%, Loss: 1.8420
Epoch 55/300, Test Accuracy: 14.80%, Loss: 1.8397
Epoch 56/300, Test Accuracy: 14.88%, Loss: 1.8394
Epoch 57/300, Test Accuracy: 14.86%, Loss: 1.8360
Epoch 58/300, Test Accuracy: 15.08%, Loss: 1.8362
Epoch 59/300, Test Accuracy: 14.58%, Loss: 1.8331
Epoch 60/300, Test Accuracy: 15.36%, Loss: 1.8337
Epoch 61/300, Test Accuracy: 15.40%, Loss: 1.8319
Epoch 62/300, Test Accuracy: 15.08%, Loss: 1.8346
Epoch 63/300, Test Accuracy: 14.38%, Loss: 1.8319
Epoch 64/300, Test Accuracy: 15.32%, Loss: 1.8362
Epoch 65/300, Test Accuracy: 14.14%, Loss: 1.8323
Epoch 66/300, Test Accuracy: 15.00%, Loss: 1.8326
Epoch 67/300, Test Accuracy: 14.76%, Loss: 1.8292
Epoch 68/300, Test Accuracy: 15.14%, Loss: 1.8305
Epoch 69/300, Test Accuracy: 14.24%, Loss: 1.8289
Epoch 70/300, Test Accuracy: 14.58%, Loss: 1.8283
Epoch 71/300, Test Accuracy: 14.86%, Loss: 1.8264
Epoch 72/300, Test Accuracy: 15.10%, Loss: 1.8251
Epoch 73/300, Test Accuracy: 14.46%, Loss: 1.8249
Epoch 74/300, Test Accuracy: 15.22%, Loss: 1.8248
Epoch 75/300, Test Accuracy: 14.26%, Loss: 1.8254
Epoch 76/300, Test Accuracy: 15.44%, Loss: 1.8247
Epoch 77/300, Test Accuracy: 13.98%, Loss: 1.8275
Epoch 78/300, Test Accuracy: 15.28%, Loss: 1.8247
Epoch 79/300, Test Accuracy: 14.18%, Loss: 1.8263
Epoch 80/300, Test Accuracy: 14.96%, Loss: 1.8261
Epoch 81/300, Test Accuracy: 14.32%, Loss: 1.8283
Epoch 82/300, Test Accuracy: 14.70%, Loss: 1.8272
Epoch 83/300, Test Accuracy: 14.44%, Loss: 1.8274
Epoch 84/300, Test Accuracy: 15.08%, Loss: 1.8294
Epoch 85/300, Test Accuracy: 14.38%, Loss: 1.8291
Epoch 86/300, Test Accuracy: 14.58%, Loss: 1.8284
Epoch 87/300, Test Accuracy: 14.18%, Loss: 1.8297
Epoch 88/300, Test Accuracy: 15.56%, Loss: 1.8288
Epoch 89/300, Test Accuracy: 13.80%, Loss: 1.8312
Epoch 90/300, Test Accuracy: 15.14%, Loss: 1.8289
Epoch 91/300, Test Accuracy: 14.08%, Loss: 1.8300
Epoch 92/300, Test Accuracy: 14.82%, Loss: 1.8295
Epoch 93/300, Test Accuracy: 13.90%, Loss: 1.8301
Epoch 94/300, Test Accuracy: 14.82%, Loss: 1.8295
Epoch 95/300, Test Accuracy: 13.82%, Loss: 1.8308
Epoch 96/300, Test Accuracy: 14.34%, Loss: 1.8314
Epoch 97/300, Test Accuracy: 13.22%, Loss: 1.8307
Epoch 98/300, Test Accuracy: 14.92%, Loss: 1.8320
Epoch 99/300, Test Accuracy: 14.56%, Loss: 1.8324
Epoch 100/300, Test Accuracy: 14.54%, Loss: 1.8335
Epoch 101/300, Test Accuracy: 14.70%, Loss: 1.8334
Epoch 102/300, Test Accuracy: 13.84%, Loss: 1.8337
Epoch 103/300, Test Accuracy: 13.96%, Loss: 1.8351
Epoch 104/300, Test Accuracy: 13.50%, Loss: 1.8355
Epoch 105/300, Test Accuracy: 14.42%, Loss: 1.8362
Epoch 106/300, Test Accuracy: 13.32%, Loss: 1.8376
Epoch 107/300, Test Accuracy: 13.86%, Loss: 1.8376
Epoch 108/300, Test Accuracy: 14.20%, Loss: 1.8401
