Epoch 1/300, Test Accuracy: 30.24%, Loss: 5.2727
Epoch 2/300, Test Accuracy: 39.82%, Loss: 1.9381
Epoch 3/300, Test Accuracy: 41.00%, Loss: 1.6159
Epoch 4/300, Test Accuracy: 43.72%, Loss: 1.2797
Epoch 5/300, Test Accuracy: 43.22%, Loss: 0.9598
Epoch 6/300, Test Accuracy: 43.90%, Loss: 0.7194
Epoch 7/300, Test Accuracy: 42.82%, Loss: 0.6395
Epoch 8/300, Test Accuracy: 44.28%, Loss: 0.6832
Epoch 9/300, Test Accuracy: 44.16%, Loss: 0.7203
Epoch 10/300, Test Accuracy: 44.78%, Loss: 0.6681
Epoch 11/300, Test Accuracy: 45.02%, Loss: 0.6201
Epoch 12/300, Test Accuracy: 45.28%, Loss: 0.5659
Epoch 13/300, Test Accuracy: 46.04%, Loss: 0.5470
Epoch 14/300, Test Accuracy: 45.44%, Loss: 0.5277
Epoch 15/300, Test Accuracy: 45.98%, Loss: 0.5081
Epoch 16/300, Test Accuracy: 45.30%, Loss: 0.4941
Epoch 17/300, Test Accuracy: 46.58%, Loss: 0.4705
Epoch 18/300, Test Accuracy: 46.02%, Loss: 0.4605
Epoch 19/300, Test Accuracy: 45.80%, Loss: 0.4399
Epoch 20/300, Test Accuracy: 46.04%, Loss: 0.4406
Epoch 21/300, Test Accuracy: 46.76%, Loss: 0.4196
Epoch 22/300, Test Accuracy: 46.22%, Loss: 0.4116
Epoch 23/300, Test Accuracy: 47.10%, Loss: 0.3919
Epoch 24/300, Test Accuracy: 46.86%, Loss: 0.3802
Epoch 25/300, Test Accuracy: 47.32%, Loss: 0.3622
Epoch 26/300, Test Accuracy: 46.76%, Loss: 0.3595
Epoch 27/300, Test Accuracy: 47.12%, Loss: 0.3558
Epoch 28/300, Test Accuracy: 46.84%, Loss: 0.3396
Epoch 29/300, Test Accuracy: 46.36%, Loss: 0.3394
Epoch 30/300, Test Accuracy: 46.64%, Loss: 0.3320
Epoch 31/300, Test Accuracy: 47.58%, Loss: 0.3314
Epoch 32/300, Test Accuracy: 46.58%, Loss: 0.3265
Epoch 33/300, Test Accuracy: 47.12%, Loss: 0.3257
Epoch 34/300, Test Accuracy: 47.44%, Loss: 0.3167
Epoch 35/300, Test Accuracy: 48.16%, Loss: 0.3023
Epoch 36/300, Test Accuracy: 46.70%, Loss: 0.3001
Epoch 37/300, Test Accuracy: 48.40%, Loss: 0.2876
Epoch 38/300, Test Accuracy: 47.14%, Loss: 0.2875
Epoch 39/300, Test Accuracy: 47.90%, Loss: 0.2848
Epoch 40/300, Test Accuracy: 47.36%, Loss: 0.2848
Epoch 41/300, Test Accuracy: 48.16%, Loss: 0.2763
Epoch 42/300, Test Accuracy: 47.38%, Loss: 0.2768
Epoch 43/300, Test Accuracy: 48.02%, Loss: 0.2741
Epoch 44/300, Test Accuracy: 48.02%, Loss: 0.2753
Epoch 45/300, Test Accuracy: 48.26%, Loss: 0.2657
Epoch 46/300, Test Accuracy: 47.68%, Loss: 0.2652
Epoch 47/300, Test Accuracy: 48.14%, Loss: 0.2624
Epoch 48/300, Test Accuracy: 47.68%, Loss: 0.2635
Epoch 49/300, Test Accuracy: 47.62%, Loss: 0.2626
Epoch 50/300, Test Accuracy: 47.44%, Loss: 0.2646
Epoch 51/300, Test Accuracy: 47.30%, Loss: 0.2630
Epoch 52/300, Test Accuracy: 47.32%, Loss: 0.2671
Epoch 53/300, Test Accuracy: 47.70%, Loss: 0.2607
Epoch 54/300, Test Accuracy: 47.84%, Loss: 0.2638
Epoch 55/300, Test Accuracy: 47.34%, Loss: 0.2570
Epoch 56/300, Test Accuracy: 48.20%, Loss: 0.2584
Epoch 57/300, Test Accuracy: 47.80%, Loss: 0.2501
Epoch 58/300, Test Accuracy: 47.38%, Loss: 0.2534
Epoch 59/300, Test Accuracy: 47.94%, Loss: 0.2497
Epoch 60/300, Test Accuracy: 47.72%, Loss: 0.2502
Epoch 61/300, Test Accuracy: 47.68%, Loss: 0.2484
Epoch 62/300, Test Accuracy: 48.04%, Loss: 0.2496
Epoch 63/300, Test Accuracy: 47.96%, Loss: 0.2465
Epoch 64/300, Test Accuracy: 48.26%, Loss: 0.2480
Epoch 65/300, Test Accuracy: 47.84%, Loss: 0.2437
Epoch 66/300, Test Accuracy: 47.76%, Loss: 0.2444
Epoch 67/300, Test Accuracy: 47.50%, Loss: 0.2435
Epoch 68/300, Test Accuracy: 48.30%, Loss: 0.2460
Epoch 69/300, Test Accuracy: 48.12%, Loss: 0.2396
Epoch 70/300, Test Accuracy: 48.02%, Loss: 0.2407
Epoch 71/300, Test Accuracy: 48.36%, Loss: 0.2365
Epoch 72/300, Test Accuracy: 48.40%, Loss: 0.2396
Epoch 73/300, Test Accuracy: 47.82%, Loss: 0.2378
Epoch 74/300, Test Accuracy: 48.68%, Loss: 0.2375
Epoch 75/300, Test Accuracy: 48.04%, Loss: 0.2351
Epoch 76/300, Test Accuracy: 48.38%, Loss: 0.2323
Epoch 77/300, Test Accuracy: 48.32%, Loss: 0.2329
Epoch 78/300, Test Accuracy: 48.20%, Loss: 0.2323
Epoch 79/300, Test Accuracy: 48.22%, Loss: 0.2302
Epoch 80/300, Test Accuracy: 48.18%, Loss: 0.2305
Epoch 81/300, Test Accuracy: 48.26%, Loss: 0.2264
Epoch 82/300, Test Accuracy: 48.32%, Loss: 0.2305
Epoch 83/300, Test Accuracy: 48.50%, Loss: 0.2278
Epoch 84/300, Test Accuracy: 48.08%, Loss: 0.2261
Epoch 85/300, Test Accuracy: 48.22%, Loss: 0.2282
Epoch 86/300, Test Accuracy: 48.30%, Loss: 0.2267
Epoch 87/300, Test Accuracy: 48.12%, Loss: 0.2265
Epoch 88/300, Test Accuracy: 48.00%, Loss: 0.2248
Epoch 89/300, Test Accuracy: 47.88%, Loss: 0.2261
Epoch 90/300, Test Accuracy: 48.44%, Loss: 0.2265
Epoch 91/300, Test Accuracy: 48.30%, Loss: 0.2272
Epoch 92/300, Test Accuracy: 48.72%, Loss: 0.2260
Epoch 93/300, Test Accuracy: 47.74%, Loss: 0.2245
Epoch 94/300, Test Accuracy: 48.94%, Loss: 0.2253
Epoch 95/300, Test Accuracy: 47.60%, Loss: 0.2238
Epoch 96/300, Test Accuracy: 48.20%, Loss: 0.2247
Epoch 97/300, Test Accuracy: 47.98%, Loss: 0.2221
Epoch 98/300, Test Accuracy: 48.08%, Loss: 0.2267
Epoch 99/300, Test Accuracy: 48.06%, Loss: 0.2222
Epoch 100/300, Test Accuracy: 48.84%, Loss: 0.2237
Epoch 101/300, Test Accuracy: 48.70%, Loss: 0.2222
Epoch 102/300, Test Accuracy: 48.10%, Loss: 0.2202
Epoch 103/300, Test Accuracy: 48.66%, Loss: 0.2220
Epoch 104/300, Test Accuracy: 48.38%, Loss: 0.2214
Epoch 105/300, Test Accuracy: 48.40%, Loss: 0.2247
Epoch 106/300, Test Accuracy: 48.28%, Loss: 0.2223
Epoch 107/300, Test Accuracy: 48.28%, Loss: 0.2222
Epoch 108/300, Test Accuracy: 47.98%, Loss: 0.2226
Epoch 109/300, Test Accuracy: 48.34%, Loss: 0.2218
Epoch 110/300, Test Accuracy: 48.24%, Loss: 0.2221
Epoch 111/300, Test Accuracy: 48.40%, Loss: 0.2241
Epoch 112/300, Test Accuracy: 48.42%, Loss: 0.2278
Epoch 113/300, Test Accuracy: 48.58%, Loss: 0.2261
Epoch 114/300, Test Accuracy: 47.80%, Loss: 0.2293
Epoch 115/300, Test Accuracy: 47.94%, Loss: 0.2289
Epoch 116/300, Test Accuracy: 48.10%, Loss: 0.2318
Epoch 117/300, Test Accuracy: 47.88%, Loss: 0.2312
Epoch 118/300, Test Accuracy: 48.42%, Loss: 0.2324
Epoch 119/300, Test Accuracy: 48.10%, Loss: 0.2304
Epoch 120/300, Test Accuracy: 48.64%, Loss: 0.2321
Epoch 121/300, Test Accuracy: 48.50%, Loss: 0.2320
Epoch 122/300, Test Accuracy: 48.42%, Loss: 0.2329
Epoch 123/300, Test Accuracy: 48.38%, Loss: 0.2350
Epoch 124/300, Test Accuracy: 48.04%, Loss: 0.2336
Epoch 125/300, Test Accuracy: 48.54%, Loss: 0.2362
Epoch 126/300, Test Accuracy: 48.56%, Loss: 0.2339
Epoch 127/300, Test Accuracy: 47.72%, Loss: 0.2340
Epoch 128/300, Test Accuracy: 48.34%, Loss: 0.2372
Epoch 129/300, Test Accuracy: 48.02%, Loss: 0.2361
Epoch 130/300, Test Accuracy: 48.58%, Loss: 0.2373
Epoch 131/300, Test Accuracy: 48.08%, Loss: 0.2345
Epoch 132/300, Test Accuracy: 48.44%, Loss: 0.2346
Epoch 133/300, Test Accuracy: 48.44%, Loss: 0.2339
Epoch 134/300, Test Accuracy: 48.48%, Loss: 0.2350
Epoch 135/300, Test Accuracy: 48.60%, Loss: 0.2347
Epoch 136/300, Test Accuracy: 48.42%, Loss: 0.2355
Epoch 137/300, Test Accuracy: 47.90%, Loss: 0.2364
Epoch 138/300, Test Accuracy: 48.64%, Loss: 0.2356
Epoch 139/300, Test Accuracy: 48.50%, Loss: 0.2360
Epoch 140/300, Test Accuracy: 48.42%, Loss: 0.2356
Epoch 141/300, Test Accuracy: 48.08%, Loss: 0.2367
Epoch 142/300, Test Accuracy: 48.72%, Loss: 0.2373
Epoch 143/300, Test Accuracy: 48.10%, Loss: 0.2376
Epoch 144/300, Test Accuracy: 48.66%, Loss: 0.2404
Epoch 145/300, Test Accuracy: 48.28%, Loss: 0.2373
Epoch 146/300, Test Accuracy: 48.08%, Loss: 0.2406
Epoch 147/300, Test Accuracy: 48.76%, Loss: 0.2368
Epoch 148/300, Test Accuracy: 48.72%, Loss: 0.2419
Epoch 149/300, Test Accuracy: 48.06%, Loss: 0.2406
Epoch 150/300, Test Accuracy: 48.84%, Loss: 0.2433
Epoch 151/300, Test Accuracy: 48.08%, Loss: 0.2445
Epoch 152/300, Test Accuracy: 48.86%, Loss: 0.2462
Epoch 153/300, Test Accuracy: 48.44%, Loss: 0.2480
Epoch 154/300, Test Accuracy: 48.00%, Loss: 0.2498
Epoch 155/300, Test Accuracy: 48.88%, Loss: 0.2499
Epoch 156/300, Test Accuracy: 48.38%, Loss: 0.2539
Epoch 157/300, Test Accuracy: 48.08%, Loss: 0.2511
Epoch 158/300, Test Accuracy: 48.94%, Loss: 0.2558
Epoch 159/300, Test Accuracy: 48.54%, Loss: 0.2532
Epoch 160/300, Test Accuracy: 48.64%, Loss: 0.2560
Epoch 161/300, Test Accuracy: 48.34%, Loss: 0.2539
Epoch 162/300, Test Accuracy: 48.30%, Loss: 0.2567
Epoch 163/300, Test Accuracy: 48.66%, Loss: 0.2573
Epoch 164/300, Test Accuracy: 48.30%, Loss: 0.2557
Epoch 165/300, Test Accuracy: 48.56%, Loss: 0.2566
Epoch 166/300, Test Accuracy: 48.42%, Loss: 0.2576
Epoch 167/300, Test Accuracy: 48.24%, Loss: 0.2570
Epoch 168/300, Test Accuracy: 48.52%, Loss: 0.2608
Epoch 169/300, Test Accuracy: 48.40%, Loss: 0.2607
Epoch 170/300, Test Accuracy: 48.14%, Loss: 0.2622
Epoch 171/300, Test Accuracy: 49.22%, Loss: 0.2604
Epoch 172/300, Test Accuracy: 47.96%, Loss: 0.2655
Epoch 173/300, Test Accuracy: 48.40%, Loss: 0.2614
Epoch 174/300, Test Accuracy: 48.40%, Loss: 0.2667
Epoch 175/300, Test Accuracy: 48.02%, Loss: 0.2654
Epoch 176/300, Test Accuracy: 48.38%, Loss: 0.2680
Epoch 177/300, Test Accuracy: 47.86%, Loss: 0.2674
Epoch 178/300, Test Accuracy: 48.20%, Loss: 0.2703
Epoch 179/300, Test Accuracy: 48.00%, Loss: 0.2688
Epoch 180/300, Test Accuracy: 48.66%, Loss: 0.2723
Epoch 181/300, Test Accuracy: 48.04%, Loss: 0.2713
Epoch 182/300, Test Accuracy: 48.66%, Loss: 0.2754
Epoch 183/300, Test Accuracy: 47.86%, Loss: 0.2743
Epoch 184/300, Test Accuracy: 48.52%, Loss: 0.2799
Epoch 185/300, Test Accuracy: 48.66%, Loss: 0.2778
Epoch 186/300, Test Accuracy: 48.04%, Loss: 0.2829
Epoch 187/300, Test Accuracy: 49.06%, Loss: 0.2793
Epoch 188/300, Test Accuracy: 48.40%, Loss: 0.2836
Epoch 189/300, Test Accuracy: 48.60%, Loss: 0.2822
Epoch 190/300, Test Accuracy: 48.36%, Loss: 0.2861
Epoch 191/300, Test Accuracy: 48.24%, Loss: 0.2845
Epoch 192/300, Test Accuracy: 48.44%, Loss: 0.2878
Epoch 193/300, Test Accuracy: 48.38%, Loss: 0.2861
